,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,-3190823.345333,-23953724.0,0.0,0.0,5454118.291512,
Tax Rate For Calcs,0.223244,0.244,0.33934,0.306,0.29168,
Normalized EBITDA,836663000.0,838902000.0,280970000.0,480000000.0,810835000.0,
Total Unusual Items,-14293000.0,-98171000.0,,87934000.0,18699000.0,-144311000.0
Total Unusual Items Excluding Goodwill,-14293000.0,-98171000.0,,87934000.0,18699000.0,-144311000.0
Net Income From Continuing Operation Net Minority Interest,225270000.0,151221000.0,66913000.0,213000000.0,187028000.0,
Reconciled Depreciation,375235000.0,394363000.0,,366256000.0,387000000.0,512443000.0
Reconciled Cost Of Revenue,3577352000.0,3697476000.0,3814257000.0,3614000000.0,3599949000.0,
EBITDA,822370000.0,740731000.0,280970000.0,480000000.0,829534000.0,
EBIT,447135000.0,346368000.0,280970000.0,480000000.0,442534000.0,
Net Interest Income,-74729000.0,-80737000.0,-79469000.0,-82000000.0,-85331000.0,
Interest Expense,96581000.0,95715000.0,101044000.0,99000000.0,103076000.0,
Interest Income,21852000.0,14978000.0,21575000.0,17000000.0,17745000.0,
Normalized Income,236372176.654667,225438276.0,66913000.0,213000000.0,173783118.291512,
Net Income From Continuing And Discontinued Operation,225270000.0,151221000.0,66913000.0,213000000.0,187028000.0,
Total Expenses,4397312000.0,4499726000.0,4647529000.0,4338000000.0,4392987000.0,
Total Operating Income As Reported,425283000.0,331390000.0,259395000.0,463000000.0,424789000.0,
Diluted Average Shares,586826898.0,586826898.0,586826898.0,586826898.0,586826898.0,
Basic Average Shares,586826898.0,586826898.0,586826898.0,586826898.0,586826898.0,
Diluted EPS,0.385,0.26,0.115,0.365,0.32,
Basic EPS,0.385,0.26,0.115,0.365,0.32,
Diluted NI Availto Com Stockholders,225270000.0,151221000.0,66913000.0,213000000.0,187028000.0,
Net Income Common Stockholders,225270000.0,151221000.0,66913000.0,213000000.0,187028000.0,
Net Income,225270000.0,151221000.0,66913000.0,213000000.0,187028000.0,
Minority Interests,-47025000.0,-38387000.0,-51957000.0,-51000000.0,-53417000.0,
Net Income Including Noncontrolling Interests,272295000.0,189608000.0,118870000.0,264000000.0,240445000.0,
Net Income Continuous Operations,272295000.0,189608000.0,118870000.0,264000000.0,240445000.0,
Tax Provision,78259000.0,61045000.0,61056000.0,117000000.0,99013000.0,
Pretax Income,350554000.0,250653000.0,179926000.0,381000000.0,339458000.0,
Other Income Expense,30882000.0,-50338000.0,-177985000.0,41000000.0,51338000.0,
Special Income Charges,-6010000.0,-23304000.0,,82801000.0,-20414000.0,-150769000.0
Gain On Sale Of Ppe,2483000.0,1125000.0,,8250000.0,2670000.0,1080000.0
Gain On Sale Of Business,-8493000.0,-24429000.0,,74551000.0,-23084000.0,-151849000.0
Earnings From Equity Interest,45175000.0,47833000.0,31875000.0,41000000.0,32639000.0,
Gain On Sale Of Security,-8283000.0,-74867000.0,,5133000.0,39113000.0,6458000.0
Net Non Operating Interest Income Expense,-74729000.0,-80737000.0,-79469000.0,-82000000.0,-85331000.0,
Interest Expense Non Operating,96581000.0,95715000.0,101044000.0,99000000.0,103076000.0,
Interest Income Non Operating,21852000.0,14978000.0,21575000.0,17000000.0,17745000.0,
Operating Income,394401000.0,381728000.0,437380000.0,422000000.0,373451000.0,
Operating Expense,819960000.0,802250000.0,833272000.0,724000000.0,793038000.0,
Other Operating Expenses,-10135000.0,8082000.0,-57040000.0,-72000000.0,-24013000.0,
Research And Development,38116000.0,43482000.0,50493000.0,40000000.0,45585000.0,
Selling General And Administration,791979000.0,750686000.0,839819000.0,756000000.0,771466000.0,
Selling And Marketing Expense,184252000.0,190493000.0,,200325000.0,190974000.0,190562000.0
General And Administrative Expense,607727000.0,560193000.0,,555821000.0,580492000.0,585082000.0
Other Gand A,607727000.0,560193000.0,,555821000.0,580492000.0,585082000.0
Gross Profit,1214361000.0,1183978000.0,1270652000.0,1146000000.0,1166489000.0,
Cost Of Revenue,3577352000.0,3697476000.0,3814257000.0,3614000000.0,3599949000.0,
Total Revenue,4791713000.0,4881454000.0,5084909000.0,4760000000.0,4766438000.0,
Operating Revenue,4791713000.0,4881454000.0,5084909000.0,4760000000.0,4766438000.0,
