,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.21,0.280596,0.038541,0.089983,0.097086,
Normalized EBITDA,1086000.0,1559000.0,56754000.0,16168000.0,12229000.0,
Net Income From Continuing Operation Net Minority Interest,-3592000.0,2992000.0,35224000.0,18497000.0,9793000.0,
Reconciled Depreciation,3414000.0,3044000.0,2478000.0,1850000.0,1383000.0,
Reconciled Cost Of Revenue,34672000.0,30709000.0,35988000.0,32398000.0,29843000.0,
EBITDA,1086000.0,1559000.0,56754000.0,16168000.0,12229000.0,
EBIT,-2328000.0,-1485000.0,54276000.0,14318000.0,10846000.0,
Net Interest Income,4482000.0,5066000.0,5530000.0,5890000.0,5882000.0,
Interest Expense,4000.0,,,,0.0,0.0
Interest Income,4486000.0,5066000.0,5552000.0,5890000.0,5882000.0,
Normalized Income,-3592000.0,2992000.0,35224000.0,18497000.0,9793000.0,
Net Income From Continuing And Discontinued Operation,-3592000.0,2992000.0,35224000.0,18497000.0,9793000.0,
Total Expenses,220402000.0,202802000.0,207834000.0,188873000.0,190786000.0,
Total Operating Income As Reported,-3316000.0,-1485000.0,31884000.0,14318000.0,5099000.0,
Diluted Average Shares,29506807.0,30311476.0,30751338.0,30633789.0,30408439.0,
Basic Average Shares,29506807.0,29702358.0,29827947.0,29879621.0,29728849.0,
Diluted EPS,-0.12,0.1,1.15,0.6,0.32,
Basic EPS,-0.12,0.1,1.18,0.62,0.33,
Diluted NI Availto Com Stockholders,-3592000.0,2992000.0,35224000.0,18497000.0,9793000.0,
Net Income Common Stockholders,-3592000.0,2992000.0,35224000.0,18497000.0,9793000.0,
Net Income,-3592000.0,2992000.0,35224000.0,18497000.0,9793000.0,
Net Income Including Noncontrolling Interests,-3592000.0,2992000.0,35224000.0,18497000.0,9793000.0,
Net Income Continuous Operations,-3592000.0,2992000.0,35224000.0,18497000.0,9793000.0,
Tax Provision,1260000.0,1167000.0,1412000.0,1829000.0,1053000.0,
Pretax Income,-2332000.0,4159000.0,36636000.0,20326000.0,10846000.0,
Other Income Expense,-3498000.0,578000.0,-778000.0,118000.0,-135000.0,
Other Non Operating Income Expenses,-3498000.0,578000.0,-778000.0,118000.0,-135000.0,
Net Non Operating Interest Income Expense,4482000.0,5066000.0,5530000.0,5890000.0,5882000.0,
Interest Expense Non Operating,4000.0,,,,0.0,0.0
Interest Income Non Operating,4486000.0,5066000.0,5552000.0,5890000.0,5882000.0,
Operating Income,-3316000.0,-1485000.0,31884000.0,14318000.0,5099000.0,
Operating Expense,185730000.0,172093000.0,171846000.0,156475000.0,160943000.0,
Research And Development,26209000.0,27803000.0,30336000.0,26083000.0,28859000.0,
Selling General And Administration,159521000.0,144290000.0,141510000.0,130392000.0,132084000.0,
Gross Profit,182414000.0,170608000.0,203730000.0,170793000.0,166042000.0,
Cost Of Revenue,34672000.0,30709000.0,35988000.0,32398000.0,29843000.0,
Total Revenue,217086000.0,201317000.0,239718000.0,203191000.0,195885000.0,
Operating Revenue,217086000.0,201317000.0,239718000.0,203191000.0,195885000.0,
