,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.21,0.21,0.010516,0.21,0.21,
Net Income From Continuing Operation Net Minority Interest,16016000.0,15021000.0,29451000.0,36643000.0,20205000.0,
Net Interest Income,33166000.0,34755000.0,36696000.0,37533000.0,36858000.0,
Interest Expense,19311000.0,18456000.0,19262000.0,22287000.0,17689000.0,
Interest Income,52477000.0,53211000.0,55958000.0,59820000.0,54547000.0,
Normalized Income,16016000.0,15021000.0,29451000.0,36643000.0,20205000.0,
Net Income From Continuing And Discontinued Operation,16016000.0,15021000.0,29451000.0,36643000.0,20205000.0,
Diluted Average Shares,50183714.0,52211340.0,,54688860.0,54789044.0,52758353.0
Basic Average Shares,50183714.0,52211340.0,,54688860.0,54789044.0,52758353.0
Diluted EPS,0.32,0.29,,0.67,0.37,0.57
Basic EPS,0.32,0.29,,0.67,0.37,0.57
Diluted NI Availto Com Stockholders,16016000.0,15021000.0,29451000.0,36643000.0,20205000.0,
Net Income Common Stockholders,16016000.0,15021000.0,29451000.0,36643000.0,20205000.0,
Net Income,16016000.0,15021000.0,29451000.0,36643000.0,20205000.0,
Minority Interests,,,,,,4057000.0
Net Income Including Noncontrolling Interests,16016000.0,15021000.0,29451000.0,36643000.0,20205000.0,
Net Income Continuous Operations,16016000.0,15021000.0,29451000.0,36643000.0,20205000.0,
Tax Provision,-92000.0,-39000.0,313000.0,-18000.0,-282000.0,
Pretax Income,15924000.0,14982000.0,29764000.0,36625000.0,19923000.0,
Gain On Sale Of Security,-10702000.0,1103000.0,-11676000.0,1086000.0,1017000.0,
Operating Expense,2959000.0,1511000.0,-717000.0,-2865000.0,-273000.0,
Other Operating Expenses,794000.0,-66000.0,-2109000.0,-4585000.0,-2043000.0,
Selling General And Administration,2165000.0,1577000.0,1392000.0,1720000.0,1770000.0,
General And Administrative Expense,2165000.0,1577000.0,1392000.0,1720000.0,1770000.0,
Total Revenue,18883000.0,16493000.0,29047000.0,33760000.0,19650000.0,
Operating Revenue,18883000.0,16493000.0,29047000.0,33760000.0,19650000.0,
