quarter,epsActual,epsEstimate,epsDifference,surprisePercent
2025-06-30,0.69,0.592,0.1,0.16549999
2025-03-31,0.6,0.53,0.07,0.1321
2024-12-31,0.6,0.54833,0.05,0.0942
2024-09-30,0.58,0.55167,0.03,0.0514
