quarter,epsActual,epsEstimate,epsDifference,surprisePercent
2025-06-30,-0.98,-1.45423,0.47,0.3261
2025-03-31,-0.33,-0.76024,0.43,0.5659
2024-12-31,2.51,2.26581,0.24,0.1078
2024-09-30,-1.83,-1.64736,-0.18,-0.1109
