,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.043391,0.036323,0.054459,0.03004,0.038029,
Net Income From Continuing Operation Net Minority Interest,23722000.0,28547000.0,22137000.0,33096000.0,29090000.0,
Net Interest Income,32454000.0,31924000.0,35236000.0,37303000.0,37475000.0,
Interest Expense,21772000.0,18904000.0,20884000.0,18117000.0,17631000.0,
Interest Income,54226000.0,50828000.0,56120000.0,55420000.0,55106000.0,
Normalized Income,23722000.0,28547000.0,22137000.0,33096000.0,29090000.0,
Net Income From Continuing And Discontinued Operation,23722000.0,28547000.0,22137000.0,33096000.0,29090000.0,
Diluted Average Shares,64868507.0,64676192.0,,64562265.0,64562265.0,64562265.0
Basic Average Shares,64868507.0,64676192.0,,64562265.0,64562265.0,64562265.0
Diluted EPS,0.37,0.44,,0.51,0.45,0.55
Basic EPS,0.37,0.44,,0.51,0.45,0.55
Diluted NI Availto Com Stockholders,23722000.0,28547000.0,22137000.0,33096000.0,29090000.0,
Net Income Common Stockholders,23722000.0,28547000.0,22137000.0,33096000.0,29090000.0,
Net Income,23722000.0,28547000.0,22137000.0,33096000.0,29090000.0,
Net Income Including Noncontrolling Interests,23722000.0,28547000.0,22137000.0,33096000.0,29090000.0,
Net Income Continuous Operations,23722000.0,28547000.0,22137000.0,33096000.0,29090000.0,
Tax Provision,1076000.0,1076000.0,1275000.0,1025000.0,1150000.0,
Pretax Income,24798000.0,29623000.0,23412000.0,34121000.0,30240000.0,
Gain On Sale Of Security,2741000.0,-26358000.0,-10155000.0,3273000.0,-5171000.0,
Operating Expense,2824000.0,3459000.0,3702000.0,3497000.0,3680000.0,
Selling General And Administration,2824000.0,3459000.0,3702000.0,3497000.0,3680000.0,
General And Administrative Expense,2824000.0,3459000.0,3702000.0,3497000.0,3680000.0,
Total Revenue,27622000.0,33082000.0,27114000.0,37618000.0,33920000.0,
Operating Revenue,27622000.0,33082000.0,27114000.0,37618000.0,33920000.0,
