,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,3064960.206402,4374916.543652
Tax Rate For Calcs,0.282928,0.289461
Normalized EBITDA,16350000.0,37715000.0
Total Unusual Items,10833000.0,15114000.0
Total Unusual Items Excluding Goodwill,10833000.0,15114000.0
Net Income From Continuing Operation Net Minority Interest,8194000.0,26955000.0
Reconciled Depreciation,4980000.0,4317000.0
Reconciled Cost Of Revenue,50007000.0,48869000.0
EBITDA,27183000.0,52829000.0
EBIT,22203000.0,48512000.0
Net Interest Income,-11655000.0,-11750000.0
Interest Expense,10769000.0,10576000.0
Normalized Income,425960.206402,16215916.543652
Net Income From Continuing And Discontinued Operation,8194000.0,26955000.0
Total Expenses,105361000.0,95008000.0
Diluted Average Shares,102425000.0,99833333.0
Basic Average Shares,102425000.0,99833333.0
Diluted EPS,0.08,0.27
Basic EPS,0.08,0.27
Diluted NI Availto Com Stockholders,8194000.0,26955000.0
Net Income Common Stockholders,8194000.0,26955000.0
Net Income,8194000.0,26955000.0
Minority Interests,-5000.0,0.0
Net Income Including Noncontrolling Interests,8199000.0,26955000.0
Net Income Continuous Operations,8199000.0,26955000.0
Tax Provision,3235000.0,10981000.0
Pretax Income,11434000.0,37936000.0
Other Income Expense,10040000.0,34637000.0
Other Non Operating Income Expenses,-793000.0,19523000.0
Special Income Charges,-334000.0,-320000.0
Other Special Charges,334000.0,320000.0
Gain On Sale Of Security,11167000.0,15434000.0
Net Non Operating Interest Income Expense,-11655000.0,-11750000.0
Total Other Finance Cost,886000.0,1174000.0
Interest Expense Non Operating,10769000.0,10576000.0
Operating Income,13049000.0,15049000.0
Operating Expense,55354000.0,46139000.0
Other Taxes,135000.0,40000.0
Selling General And Administration,55219000.0,46099000.0
Selling And Marketing Expense,29440000.0,21497000.0
General And Administrative Expense,25779000.0,24602000.0
Other Gand A,25779000.0,24602000.0
Gross Profit,68403000.0,61188000.0
Cost Of Revenue,50007000.0,48869000.0
Total Revenue,118410000.0,110057000.0
Operating Revenue,118410000.0,110057000.0
