,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,-1743000.0,-10410000.0,-17136000.0,-3698400.0,-6573000.0,,
Tax Rate For Calcs,0.21,0.347,0.21,0.268,0.21,,
Normalized EBITDA,80600000.0,118600000.0,206200000.0,131700000.0,116100000.0,,
Total Unusual Items,-8300000.0,-30000000.0,-81600000.0,-13800000.0,-31300000.0,,
Total Unusual Items Excluding Goodwill,-8300000.0,-30000000.0,-81600000.0,-13800000.0,-31300000.0,,
Net Income From Continuing Operation Net Minority Interest,7600000.0,17400000.0,13700000.0,40900000.0,7600000.0,,
Reconciled Depreciation,56100000.0,50400000.0,52900000.0,51000000.0,45200000.0,,
Reconciled Cost Of Revenue,439500000.0,410200000.0,486300000.0,445600000.0,416100000.0,,
EBITDA,72300000.0,88600000.0,124600000.0,117900000.0,84800000.0,,
EBIT,16200000.0,38200000.0,71700000.0,66900000.0,39600000.0,,
Net Interest Income,-12800000.0,-10000000.0,-13600000.0,-9300000.0,-13000000.0,,
Interest Expense,15700000.0,13100000.0,15600000.0,11600000.0,15700000.0,,
Interest Income,2900000.0,3100000.0,2400000.0,1900000.0,2700000.0,,
Normalized Income,14157000.0,36990000.0,78164000.0,51001600.0,32327000.0,,
Net Income From Continuing And Discontinued Operation,7600000.0,17400000.0,13700000.0,40900000.0,7600000.0,,
Total Expenses,771100000.0,735700000.0,822600000.0,784800000.0,729600000.0,,
Total Operating Income As Reported,11900000.0,31800000.0,72100000.0,68100000.0,48100000.0,,
Diluted Average Shares,151700000.0,151900000.0,152000000.0,152000000.0,148000000.0,,
Basic Average Shares,151600000.0,151600000.0,151600000.0,151500000.0,147400000.0,,
Diluted EPS,0.05,0.11,0.09,0.27,0.05,,
Basic EPS,0.05,0.11,0.09,0.27,0.05,,
Diluted NI Availto Com Stockholders,7600000.0,17400000.0,13700000.0,40900000.0,7600000.0,,
Net Income Common Stockholders,7600000.0,17400000.0,13700000.0,40900000.0,7600000.0,,
Net Income,7600000.0,17400000.0,13700000.0,40900000.0,7600000.0,,
Minority Interests,3400000.0,600000.0,-200000.0,600000.0,0.0,,
Net Income Including Noncontrolling Interests,4200000.0,16800000.0,13900000.0,40300000.0,7600000.0,,
Net Income Continuous Operations,4200000.0,16800000.0,13900000.0,40300000.0,7600000.0,,
Earnings From Equity Interest Net Of Tax,600000.0,400000.0,-1500000.0,-200000.0,-200000.0,,
Tax Provision,-3100000.0,8700000.0,40700000.0,14800000.0,16100000.0,,
Pretax Income,500000.0,25100000.0,56100000.0,55300000.0,23900000.0,,
Other Income Expense,-13000000.0,-30600000.0,-87300000.0,-15000000.0,-34200000.0,,
Other Non Operating Income Expenses,-4700000.0,-600000.0,-5700000.0,-1200000.0,-2900000.0,,
Special Income Charges,-9700000.0,-34300000.0,-86900000.0,-14300000.0,-40300000.0,,
Write Off,0.0,1900000.0,0.0,4400000.0,20200000.0,,
Restructuring And Mergern Acquisition,9700000.0,32400000.0,39800000.0,9900000.0,20100000.0,,
Gain On Sale Of Security,1400000.0,4300000.0,5300000.0,500000.0,9000000.0,,
Net Non Operating Interest Income Expense,-12800000.0,-10000000.0,-13600000.0,-9300000.0,-13000000.0,,
Total Other Finance Cost,,,,-400000.0,,,100000.0
Interest Expense Non Operating,15700000.0,13100000.0,15600000.0,11600000.0,15700000.0,,
Interest Income Non Operating,2900000.0,3100000.0,2400000.0,1900000.0,2700000.0,,
Operating Income,26300000.0,65700000.0,157000000.0,79600000.0,71100000.0,,
Operating Expense,331600000.0,325500000.0,336300000.0,339200000.0,313500000.0,,
Other Operating Expenses,,3000000.0,,2200000.0,1900000.0,800000.0,1900000.0
Research And Development,100200000.0,97100000.0,104400000.0,98100000.0,92200000.0,,
Selling General And Administration,231400000.0,225400000.0,236800000.0,238900000.0,221300000.0,,
General And Administrative Expense,,225400000.0,236800000.0,238900000.0,221300000.0,195300000.0,
Other Gand A,,225400000.0,236800000.0,238900000.0,221300000.0,195300000.0,
Salaries And Wages,,,,-400000.0,-300000.0,-300000.0,0.0
Gross Profit,357900000.0,391200000.0,493300000.0,418800000.0,384600000.0,,
Cost Of Revenue,439500000.0,410200000.0,486300000.0,445600000.0,416100000.0,,
Total Revenue,797400000.0,801400000.0,979600000.0,864400000.0,800700000.0,,
Operating Revenue,797400000.0,801400000.0,979600000.0,864400000.0,800700000.0,,
