quarter,epsActual,epsEstimate,epsDifference,surprisePercent
2025-06-30,-0.0432,0.11434,-0.16,-1.3778
2025-03-31,-0.1344,0.06011,-0.19,-3.2359
2024-12-31,-0.01,0.1197,-0.13,-1.0835
2024-09-30,0.0032,0.11095,-0.11,-0.97120005
